mag, bv, long, lat
3.0404,0.828,-37.1103,-5.5712
3.0449,0.058,-129.8178,71.834
3.0586,0.716,46.1991,53.5064
3.0625,0.14,32.3859,34.9873
3.0703,1.588,59.5074,-13.5085
3.0897,0.852,-19.2494,30.2212
3.098,0.191,-141.9805,38.3083
3.1068,-0.044,173.9454,-63.0198
3.1077,1.207,102.484,-50.6146
3.108,0.969,-28.554,-0.3198
3.1092,0.509,-93.1038,-40.127
3.116,-0.148,76.6287,41.2345
3.1168,0.808,146.4628,23.7743
3.1339,-0.107,-78.5859,-26.9908
3.1356,0.981,-88.548,-30.4241
3.1359,-0.12,-102.8033,65.7147
3.1395,-0.103,99.4403,-43.1959
3.1417,-0.227,-129.657,-40.6475
3.1438,-0.201,-37.835,70.5607
3.1457,0.537,75.4922,43.8233
3.1501,0.08,-101.242,24.8392
3.1512,1.582,-85.5932,-36.7617
3.1521,0.92,-160.2696,-23.1715
3.1638,1.144,167.4159,44.4985
3.1761,1.326,-177.4688,-22.6198
3.188,0.223,134.8019,48.0418
3.1915,1.377,100.983,25.1311
3.1931,-0.186,-99.4976,-24.9995
3.2104,0.79,-54.7472,-14.7814
3.2177,1.088,-67.3197,27.9597
3.2245,-0.066,-57.1738,-0.8215
3.2296,0.99,-71.8612,67.6615
3.2342,-0.049,-75.2641,32.6896
3.2372,-0.079,68.4991,-55.045
3.2393,1.552,-105.3449,-55.9901
3.2465,0.256,-139.3733,-64.9751
3.252,1.55,140.2638,34.3926
3.2528,-0.11,78.2329,-16.2055
3.2707,1.232,162.4062,-16.1936
3.2707,0.998,-50.6082,-47.2915
3.271,-0.15,-98.6514,-56.3777
3.277,0.475,143.2143,51.6773
3.2783,-0.074,153.4342,-70.0379
3.2803,0.978,133.8484,5.9456
3.2811,1.538,142.8055,-57.0344
3.2833,1.146,87.74,-35.7683
3.2862,0.484,72.46,6.9613
3.2919,-0.24,81.1192,-2.3971
3.2964,0.066,-16.3374,-15.8208
3.3093,1.674,-133.9824,-25.282
3.3107,-0.15,28.5989,63.6701
3.3114,0.225,102.0477,-61.9414
3.3121,1.437,-101.2382,36.8092
3.3138,-0.191,-129.3297,-44.6896
3.3215,1.46,76.3653,-22.371
3.3225,-0.089,158.0061,-61.6853
3.3237,-0.225,-152.6238,-41.6877
3.3288,-0.003,168.56,15.4296
3.3298,-0.16,83.7845,9.9342
3.3353,0.077,-176.1435,57.0326
3.3398,-0.206,-119.9695,-38.3967
3.342,1.59,56.8098,-74.239
3.3521,1.192,-92.5355,-37.0433
3.3612,1.16,-105.5829,9.375
3.3666,-0.19,137.742,-58.9669
3.3743,0.99,-41.7659,30.2269
3.3757,1.509,112.3076,-43.3014
3.3767,1.031,-5.1631,77.6323
3.3774,-0.099,60.1701,12.4903
3.3887,-0.086,-19.6345,10.8314
3.3939,-0.177,119.1946,-52.9824
3.3969,-0.17,-152.5959,-42.4737
3.3995,0.941,-84.6725,-2.8988
3.4026,-0.096,-73.4378,-4.8826
3.4147,0.114,-156.3267,-0.5958
3.4149,0.441,-101.9617,-43.2392
3.4187,1.091,-148.4071,-26.6824
3.4234,-0.179,-83.2566,-45.9685
3.4328,1.268,9.832,30.861
3.4405,1.571,-166.0991,3.3975
3.4417,0.443,101.3224,12.8956
3.4597,0.179,67.1656,15.8709
3.4638,1.166,-128.7676,58.9661
3.4644,-0.116,102.4602,-32.5085
3.4646,0.885,16.521,-46.7184
3.4689,1.169,-73.265,-27.6704
3.4733,0.163,-48.7604,-66.2032
3.4829,-0.21,-106.9161,-38.0175
3.4849,-0.184,-145.1491,-46.0581
3.4871,0.987,-90.2434,-9.7736
3.4953,0.915,63.6062,-62.4739
3.5001,0.093,40.8252,3.2358
3.5004,0.685,131.6938,6.4188
3.5031,-0.067,149.2156,-54.5678
3.5034,-0.031,151.8331,16.7627
3.5041,0.856,127.5661,60.7182
3.5096,0.307,154.1726,23.4173
3.5109,1.218,117.3236,-24.8598
3.512,1.558,-27.2863,58.2013
3.5167,-0.108,64.4736,-33.7983
3.519,0.083,-17.8613,-51.3169
3.521,0.488,28.2704,29.5788
3.5211,-0.12,34.1274,-51.5122
3.5298,1.541,154.2707,-61.3323
3.5329,1.542,22.0914,-43.3182
3.5371,-0.168,130.0733,-52.9219
3.5411,-0.036,-122.595,-3.4302
3.5534,0.086,-27.4501,6.1979
3.5544,-0.115,79.4016,-6.8444
